courseCode;courseName;hp;level;fall;spring;period1;period2;url
TATA55;Abstrakt algebra;6;G2X;1;0;3;3;https://liu.se/studieinfo/kurs/TATA55
TNCG15;Advanced Global Illumination and Rendering;6;A1X;1;0;4;;https://liu.se/studieinfo/kurs/TNCG15
TEAE13;Affärsrätt;6;G1X;0;1;;2;https://liu.se/studieinfo/kurs/TEAE13
TDEI13;Affärssystem: process och implementering;6;A1X;1;0;2;;https://liu.se/studieinfo/kurs/TDEI13
TDDE05;AI-robotik;6;A1X;0;1;4;4;https://liu.se/studieinfo/kurs/TDDE05
TDDD95;Algoritmisk problemlösning;6;A1X;0;1;1;4;https://liu.se/studieinfo/kurs/TDDD95
TBME04;Anatomi och fysiologi;6;G2X;1;0;3;;https://liu.se/studieinfo/kurs/TBME04
TNM095;Artificiell intelligens för interaktiv media;6;A1X;1;0;2;;https://liu.se/studieinfo/kurs/TNM095
TDDD48;Automatisk planering;6;A1X;0;1;;1;https://liu.se/studieinfo/kurs/TDDD48
TSFS12;Autonoma farkoster - planering;6;A1X;1;0;1;;https://liu.se/studieinfo/kurs/TSFS12
TDDD53;Avancerad interaktionsdesign;6;A1X;1;0;1;;https://liu.se/studieinfo/kurs/TDDD53
TDDE15;Avancerad maskininlärning;6;A1X;1;0;1;;https://liu.se/studieinfo/kurs/TDDE15
TDDD38;Avancerad programmering i C++;6;A1X;0;1;2;0;https://liu.se/studieinfo/kurs/TDDD38
TDDD38;Avancerad programmering i C++;6;A1X;1;0;2;0;https://liu.se/studieinfo/kurs/TDDD38
TDDE45;Avancerad programvarudesign;6;A1X;1;0;4;;https://liu.se/studieinfo/kurs/TDDE45
TDDE19;Avancerad projektkurs: AI och maskininlärning;6;A1X;1;0;4;4;https://liu.se/studieinfo/kurs/TDDE19
TDDE20;Avancerad projektkurs: Spel-;6;A1X;1;0;4;4;https://liu.se/studieinfo/kurs/TDDE20
TDDE21;Avancerad projektkurs: Säkra distribuerade och inbyggda system;6;A1X;1;0;4;4;https://liu.se/studieinfo/kurs/TDDE21
TDDD27;Avancerad webbprogrammering;6;A1X;0;1;;3;https://liu.se/studieinfo/kurs/TDDD27
TDTS21;Avancerade nätverk;6;A1X;0;1;1;1;https://liu.se/studieinfo/kurs/TDTS21
TDDE07;Bayesianska metoder;6;A1X;0;1;;2;https://liu.se/studieinfo/kurs/TDDE07
TANA21;Beräkningsmatematik;6;G1X;1;0;3;;https://liu.se/studieinfo/kurs/TANA21
TDDE31;Big Data Analytics;6;A1X;0;1;;3;https://liu.se/studieinfo/kurs/TDDE31
TSBB11;Bilder och grafik;12;A1X;1;0;4;4;https://liu.se/studieinfo/kurs/TSBB11
TBME03;Biokemi och cellbiologi;6;G2X;1;0;;2;https://liu.se/studieinfo/kurs/TBME03
TDDD41;Data Mining - Clustering and Association Analysis;6;A1X;0;1;3;;https://liu.se/studieinfo/kurs/TDDD41
TDDE55;Data- och programstrukturer;6;G2X;0;1;3;1;https://liu.se/studieinfo/kurs/TDDE55
TEIE88;Datajuridisk översiktskurs;4;G1X;0;1;1;;https://liu.se/studieinfo/kurs/TEIE88
TSBK08;Datakompression;6;A1X;0;1;2;;https://liu.se/studieinfo/kurs/TSBK08
TDDD43;Datamodeller och databaser;6;A1X;1;0;2;2;https://liu.se/studieinfo/kurs/TDDD43
TSIT02;Datasäkerhet;6;G2X;1;0;;2;https://liu.se/studieinfo/kurs/TSIT02
TANA09;Datatekniska beräkningar;4;G2X;1;0;;1;https://liu.se/studieinfo/kurs/TANA09
TDTS08;Datorarkitektur;6;A1X;1;0;2;;https://liu.se/studieinfo/kurs/TDTS08
TSBK07;Datorgrafik;6;A1X;0;1;4;1;https://liu.se/studieinfo/kurs/TSBK07
TSBB15;Datorseende;12;A1X;0;1;1;3;https://liu.se/studieinfo/kurs/TSBB15
TDDD23;Design och programmering av datorspel;6;A1X;1;0;2;;https://liu.se/studieinfo/kurs/TDDD23
